,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
FITTING,TEE,20SW200032,20SAP200032,DN 32,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208509,,,,,X,X,,,,,X,
FITTING,TEE,20SW200033,20SAP200033,DN 25,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208508,,,,,X,X,,,,,X,
FITTING,TEE,20SW200034,20SAP200034,DN 20,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208507,,,,,X,X,,,,,X,
FITTING,TEE,20SW200035,20SAP200035,DN 15,PP STD - PN10,Butt Welded / IR,EQUAL TEE ,,Pcs,GF (George Fischer),727208506,,,,,X,X,,,,,X,
FITTING,TEE,20SW200036,20SAP200036,DN 63 - DN50,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208355,,,,,X,,,,,,X,
FITTING,TEE,20SW200037,20SAP200037,DN 63 - DN40,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208354,,,,,X,,,,,,X,
FITTING,TEE,20SW200038,20SAP200038,DN 50 - DN 40,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208352,,,,,X,,,,,,X,
FITTING,TEE,20SW200039,20SAP200039,DN 50 - DN 32,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208350,,,,,X,,,,,,X,
FITTING,TEE,20SW200040,20SAP200040,DN 40 - DN32,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208510+727908552,,,,,X,X,,,,,X,
FITTING,TEE,20SW200041,20SAP200041,DN 40 - DN 25,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208510+727908553,,,,,X,X,,,,,X,
FITTING,TEE,20SW200042,20SAP200042,DN 32 - DN 25,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208509+727908546,,,,,X,X,,,,,X,
FITTING,TEE,20SW200043,20SAP200043,DN 32 - DN 20,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208509+727908547,,,,,X,X,,,,,X,
FITTING,TEE,20SW200044,20SAP200044,DN 25 - DN 20,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208508+727908541,,,,,X,X,,,,,X,
FITTING,TEE,20SW200045,20SAP200045,DN 25 - DN 15,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208508+727908542,,,,,X,X,,,,,X,
FITTING,TEE,20SW200046,20SAP200046,DN 20 - DN 15,PP STD - PN10,Butt Welded / IR,REDUCING TEE,,Pcs,GF (George Fischer),727208507+727908537,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200047,20SAP200047,DN 63 - DN50,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908564,,,,,X,,,,,,X,
FITTING,REDUCER,20SW200048,20SAP200048,DN 63 - DN40,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908565,,,,,X,,,,,,X,
FITTING,REDUCER,20SW200049,20SAP200049,DN 50 - DN 40,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908558,,,,,X,,,,,,X,
FITTING,REDUCER,20SW200050,20SAP200050,DN 50 - DN 32,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908559,,,,,X,,,,,,X,
FITTING,REDUCER,20SW200051,20SAP200051,DN 40 - DN32,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908552,,,,,X,X,,,,,X,
FITTING,REDUCER,20SW200052,20SAP200052,DN 40 - DN 25,PP STD - PN10,Butt Welded / IR,CONCENTRIC REDUCER,,Pcs,GF (George Fischer),727908553,,,,,X,X,,,,,X,
